"Notes"	"UCD - ICD Chapter"	"UCD - ICD Chapter Code"	"UCD - ICD Sub-Chapter"	"UCD - ICD Sub-Chapter Code"	"Underlying Cause of death"	"Underlying Cause of death Code"	Deaths	Population	Crude Rate
	"Certain infectious and parasitic diseases"	"A00-B99"	"Intestinal infectious diseases"	"A00-A09"	"Foodborne Bacillus cereus intoxication"	"A05.4"	0	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Intestinal infectious diseases"	"A00-A09"	"Other specified bacterial foodborne intoxications"	"A05.8"	1	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Intestinal infectious diseases"	"A00-A09"	"Bacterial foodborne intoxication, unspecified"	"A05.9"	9	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Intestinal infectious diseases"	"A00-A09"	"Acute amoebic dysentery"	"A06.0"	7	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Intestinal infectious diseases"	"A00-A09"	"Chronic intestinal amoebiasis"	"A06.1"	2	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Intestinal infectious diseases"	"A00-A09"	"Amoebic nondysenteric colitis"	"A06.2"	1	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Intestinal infectious diseases"	"A00-A09"	"Amoeboma of intestine"	"A06.3"	0	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Intestinal infectious diseases"	"A00-A09"	"Amoebic liver abscess"	"A06.4"	13	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Intestinal infectious diseases"	"A00-A09"	"Amoebic lung abscess"	"A06.5"	1	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Intestinal infectious diseases"	"A00-A09"	"Amoebic brain abscess"	"A06.6"	4	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Intestinal infectious diseases"	"A00-A09"	"Cutaneous amoebiasis"	"A06.7"	0	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Intestinal infectious diseases"	"A00-A09"	"Amoebic infection of other sites"	"A06.8"	4	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Intestinal infectious diseases"	"A00-A09"	"Amoebiasis, unspecified"	"A06.9"	17	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Intestinal infectious diseases"	"A00-A09"	"Balantidiasis"	"A07.0"	0	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Intestinal infectious diseases"	"A00-A09"	"Giardiasis [lambliasis]"	"A07.1"	7	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Intestinal infectious diseases"	"A00-A09"	"Cryptosporidiosis"	"A07.2"	25	4791200056	0.0
	"Certain infectious and parasitic diseases"	"A00-B99"	"Intestinal infectious diseases"	"A00-A09"	"Isosporiasis"	"A07.3"	25	4791200056	0.0
	"Certain infectious and parasitic diseases"	"A00-B99"	"Intestinal infectious diseases"	"A00-A09"	"Other specified protozoal intestinal diseases"	"A07.8"	0	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Intestinal infectious diseases"	"A00-A09"	"Protozoal intestinal disease, unspecified"	"A07.9"	1	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Intestinal infectious diseases"	"A00-A09"	"Rotaviral enteritis"	"A08.0"	51	4791200056	0.0
	"Certain infectious and parasitic diseases"	"A00-B99"	"Intestinal infectious diseases"	"A00-A09"	"Acute gastroenteropathy due to Norwalk agent"	"A08.1"	118	4791200056	0.0
	"Certain infectious and parasitic diseases"	"A00-B99"	"Intestinal infectious diseases"	"A00-A09"	"Adenoviral enteritis"	"A08.2"	4	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Intestinal infectious diseases"	"A00-A09"	"Other viral enteritis"	"A08.3"	31	4791200056	0.0
	"Certain infectious and parasitic diseases"	"A00-B99"	"Intestinal infectious diseases"	"A00-A09"	"Viral intestinal infection, unspecified"	"A08.4"	1771	4791200056	0.0
	"Certain infectious and parasitic diseases"	"A00-B99"	"Intestinal infectious diseases"	"A00-A09"	"Other specified intestinal infections"	"A08.5"	14	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Intestinal infectious diseases"	"A00-A09"	"Diarrhoea and gastroenteritis of infectious origin"	"A09"	1061	4791200056	0.0
	"Certain infectious and parasitic diseases"	"A00-B99"	"Intestinal infectious diseases"	"A00-A09"	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	3907	4791200056	0.1
	"Certain infectious and parasitic diseases"	"A00-B99"	"Intestinal infectious diseases"	"A00-A09"	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	12017	4791200056	0.3
"Total"	"Certain infectious and parasitic diseases"	"A00-B99"	"Intestinal infectious diseases"	"A00-A09"			104142	4791200056	2.2
	"Certain infectious and parasitic diseases"	"A00-B99"	"Tuberculosis"	"A16-A19"	"Tuberculosis of lung, without mention of bacteriological or histological confirmation"	"A16.2"	4586	4791200056	0.1
	"Certain infectious and parasitic diseases"	"A00-B99"	"Tuberculosis"	"A16-A19"	"Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation"	"A16.3"	1	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Tuberculosis"	"A16-A19"	"Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation"	"A16.4"	24	4791200056	0.0
	"Certain infectious and parasitic diseases"	"A00-B99"	"Tuberculosis"	"A16-A19"	"Tuberculous pleurisy, without mention of bacteriological or histological confirmation"	"A16.5"	93	4791200056	0.0
	"Certain infectious and parasitic diseases"	"A00-B99"	"Tuberculosis"	"A16-A19"	"Primary respiratory tuberculosis without mention of bacteriological or histological confirmation"	"A16.7"	13	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Tuberculosis"	"A16-A19"	"Other respiratory tuberculosis, without mention of bacteriological or histological confirmation"	"A16.8"	2	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Tuberculosis"	"A16-A19"	"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"	"A16.9"	3140	4791200056	0.1
	"Certain infectious and parasitic diseases"	"A00-B99"	"Tuberculosis"	"A16-A19"	"Tuberculous meningitis"	"A17.0"	209	4791200056	0.0
	"Certain infectious and parasitic diseases"	"A00-B99"	"Tuberculosis"	"A16-A19"	"Meningeal tuberculoma"	"A17.1"	0	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Tuberculosis"	"A16-A19"	"Other tuberculosis of nervous system"	"A17.8"	57	4791200056	0.0
	"Certain infectious and parasitic diseases"	"A00-B99"	"Tuberculosis"	"A16-A19"	"Tuberculosis of nervous system, unspecified"	"A17.9"	5	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Tuberculosis"	"A16-A19"	"Tuberculosis of bones and joints"	"A18.0"	1129	4791200056	0.0
	"Certain infectious and parasitic diseases"	"A00-B99"	"Tuberculosis"	"A16-A19"	"Tuberculosis of genitourinary system"	"A18.1"	33	4791200056	0.0
	"Certain infectious and parasitic diseases"	"A00-B99"	"Tuberculosis"	"A16-A19"	"Tuberculous peripheral lymphadenopathy"	"A18.2"	6	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Tuberculosis"	"A16-A19"	"Tuberculosis of intestines, peritoneum and mesenteric glands"	"A18.3"	77	4791200056	0.0
	"Certain infectious and parasitic diseases"	"A00-B99"	"Tuberculosis"	"A16-A19"	"Tuberculosis of skin and subcutaneous tissue"	"A18.4"	3	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Tuberculosis"	"A16-A19"	"Tuberculosis of eye"	"A18.5"	0	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Tuberculosis"	"A16-A19"	"Tuberculosis of ear"	"A18.6"	0	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Tuberculosis"	"A16-A19"	"Tuberculosis of adrenal glands"	"A18.7"	9	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Tuberculosis"	"A16-A19"	"Tuberculosis of other specified organs"	"A18.8"	66	4791200056	0.0
	"Certain infectious and parasitic diseases"	"A00-B99"	"Tuberculosis"	"A16-A19"	"Acute miliary tuberculosis of a single specified site"	"A19.0"	3	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Tuberculosis"	"A16-A19"	"Acute miliary tuberculosis of multiple sites"	"A19.1"	1	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Tuberculosis"	"A16-A19"	"Acute miliary tuberculosis, unspecified"	"A19.2"	3	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Tuberculosis"	"A16-A19"	"Other miliary tuberculosis"	"A19.8"	10	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Tuberculosis"	"A16-A19"	"Miliary tuberculosis, unspecified"	"A19.9"	786	4791200056	0.0
"Total"	"Certain infectious and parasitic diseases"	"A00-B99"	"Tuberculosis"	"A16-A19"			10256	4791200056	0.2
	"Certain infectious and parasitic diseases"	"A00-B99"	"Certain zoonotic bacterial diseases"	"A20-A28"	"Bubonic plague"	"A20.0"	0	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Certain zoonotic bacterial diseases"	"A20-A28"	"Cellulocutaneous plague"	"A20.1"	0	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Certain zoonotic bacterial diseases"	"A20-A28"	"Pneumonic plague"	"A20.2"	2	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Certain zoonotic bacterial diseases"	"A20-A28"	"Plague meningitis"	"A20.3"	0	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Certain zoonotic bacterial diseases"	"A20-A28"	"Septicaemic plague"	"A20.7"	5	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Certain zoonotic bacterial diseases"	"A20-A28"	"Other forms of plague"	"A20.8"	0	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Certain zoonotic bacterial diseases"	"A20-A28"	"Plague, unspecified"	"A20.9"	2	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Certain zoonotic bacterial diseases"	"A20-A28"	"Ulceroglandular tularaemia"	"A21.0"	0	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Certain zoonotic bacterial diseases"	"A20-A28"	"Oculoglandular tularaemia"	"A21.1"	0	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Certain zoonotic bacterial diseases"	"A20-A28"	"Pulmonary tularaemia"	"A21.2"	5	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Certain zoonotic bacterial diseases"	"A20-A28"	"Gastrointestinal tularaemia"	"A21.3"	0	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Certain zoonotic bacterial diseases"	"A20-A28"	"Generalized tularaemia"	"A21.7"	8	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Certain zoonotic bacterial diseases"	"A20-A28"	"Other forms of tularaemia"	"A21.8"	0	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Certain zoonotic bacterial diseases"	"A20-A28"	"Tularaemia, unspecified"	"A21.9"	5	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Certain zoonotic bacterial diseases"	"A20-A28"	"Cutaneous anthrax"	"A22.0"	0	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Certain zoonotic bacterial diseases"	"A20-A28"	"Pulmonary anthrax"	"A22.1"	0	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Certain zoonotic bacterial diseases"	"A20-A28"	"Gastrointestinal anthrax"	"A22.2"	0	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Certain zoonotic bacterial diseases"	"A20-A28"	"Anthrax septicaemia"	"A22.7"	0	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Certain zoonotic bacterial diseases"	"A20-A28"	"Other forms of anthrax"	"A22.8"	0	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Certain zoonotic bacterial diseases"	"A20-A28"	"Anthrax, unspecified"	"A22.9"	0	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Certain zoonotic bacterial diseases"	"A20-A28"	"Brucellosis due to Brucella melitensis"	"A23.0"	2	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Certain zoonotic bacterial diseases"	"A20-A28"	"Brucellosis due to Brucella abortus"	"A23.1"	0	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Certain zoonotic bacterial diseases"	"A20-A28"	"Brucellosis due to Brucella suis"	"A23.2"	0	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Certain zoonotic bacterial diseases"	"A20-A28"	"Brucellosis due to Brucella canis"	"A23.3"	0	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Certain zoonotic bacterial diseases"	"A20-A28"	"Other brucellosis"	"A23.8"	0	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Certain zoonotic bacterial diseases"	"A20-A28"	"Brucellosis, unspecified"	"A23.9"	8	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Certain zoonotic bacterial diseases"	"A20-A28"	"Glanders"	"A24.0"	0	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Certain zoonotic bacterial diseases"	"A20-A28"	"Acute and fulminating melioidosis"	"A24.1"	2	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Certain zoonotic bacterial diseases"	"A20-A28"	"Subacute and chronic melioidosis"	"A24.2"	1	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Certain zoonotic bacterial diseases"	"A20-A28"	"Other melioidosis"	"A24.3"	0	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Certain zoonotic bacterial diseases"	"A20-A28"	"Melioidosis, unspecified"	"A24.4"	0	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Certain zoonotic bacterial diseases"	"A20-A28"	"Spirillosis"	"A25.0"	0	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Certain zoonotic bacterial diseases"	"A20-A28"	"Streptobacillosis"	"A25.1"	3	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Certain zoonotic bacterial diseases"	"A20-A28"	"Rat-bite fever, unspecified"	"A25.9"	1	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Certain zoonotic bacterial diseases"	"A20-A28"	"Cutaneous erysipeloid"	"A26.0"	1	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Certain zoonotic bacterial diseases"	"A20-A28"	"Erysipelothrix septicaemia"	"A26.7"	4	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Certain zoonotic bacterial diseases"	"A20-A28"	"Other forms of erysipeloid"	"A26.8"	0	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Certain zoonotic bacterial diseases"	"A20-A28"	"Erysipeloid, unspecified"	"A26.9"	0	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Certain zoonotic bacterial diseases"	"A20-A28"	"Leptospirosis icterohaemorrhagica"	"A27.0"	1	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Certain zoonotic bacterial diseases"	"A20-A28"	"Other forms of leptospirosis"	"A27.8"	0	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Certain zoonotic bacterial diseases"	"A20-A28"	"Leptospirosis, unspecified"	"A27.9"	13	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Certain zoonotic bacterial diseases"	"A20-A28"	"Pasteurellosis"	"A28.0"	243	4791200056	0.0
	"Certain infectious and parasitic diseases"	"A00-B99"	"Certain zoonotic bacterial diseases"	"A20-A28"	"Cat-scratch disease"	"A28.1"	5	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Certain zoonotic bacterial diseases"	"A20-A28"	"Extraintestinal yersiniosis"	"A28.2"	3	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Certain zoonotic bacterial diseases"	"A20-A28"	"Other specified zoonotic bacterial diseases, not elsewhere classified"	"A28.8"	80	4791200056	0.0
	"Certain infectious and parasitic diseases"	"A00-B99"	"Certain zoonotic bacterial diseases"	"A20-A28"	"Zoonotic bacterial disease, unspecified"	"A28.9"	0	4791200056	Unreliable
"Total"	"Certain infectious and parasitic diseases"	"A00-B99"	"Certain zoonotic bacterial diseases"	"A20-A28"			394	4791200056	0.0
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other bacterial diseases"	"A30-A49"	"Indeterminate leprosy"	"A30.0"	1	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other bacterial diseases"	"A30-A49"	"Tuberculoid leprosy"	"A30.1"	0	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other bacterial diseases"	"A30-A49"	"Borderline tuberculoid leprosy"	"A30.2"	0	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other bacterial diseases"	"A30-A49"	"Borderline leprosy"	"A30.3"	1	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other bacterial diseases"	"A30-A49"	"Borderline lepromatous leprosy"	"A30.4"	0	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other bacterial diseases"	"A30-A49"	"Lepromatous leprosy"	"A30.5"	0	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other bacterial diseases"	"A30-A49"	"Other forms of leprosy"	"A30.8"	0	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other bacterial diseases"	"A30-A49"	"Leprosy, unspecified"	"A30.9"	23	4791200056	0.0
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other bacterial diseases"	"A30-A49"	"Pulmonary mycobacterial infection"	"A31.0"	3485	4791200056	0.1
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other bacterial diseases"	"A30-A49"	"Cutaneous mycobacterial infection"	"A31.1"	0	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other bacterial diseases"	"A30-A49"	"Other mycobacterial infections"	"A31.8"	80	4791200056	0.0
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other bacterial diseases"	"A30-A49"	"Mycobacterial infection, unspecified"	"A31.9"	699	4791200056	0.0
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other bacterial diseases"	"A30-A49"	"Cutaneous listeriosis"	"A32.0"	0	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other bacterial diseases"	"A30-A49"	"Listerial meningitis and meningoencephalitis"	"A32.1"	294	4791200056	0.0
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other bacterial diseases"	"A30-A49"	"Listerial septicaemia"	"A32.7"	177	4791200056	0.0
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other bacterial diseases"	"A30-A49"	"Other forms of listeriosis"	"A32.8"	16	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other bacterial diseases"	"A30-A49"	"Listeriosis, unspecified"	"A32.9"	73	4791200056	0.0
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other bacterial diseases"	"A30-A49"	"Tetanus neonatorum"	"A33"	0	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other bacterial diseases"	"A30-A49"	"Obstetrical tetanus"	"A34"	0	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other bacterial diseases"	"A30-A49"	"Other tetanus"	"A35"	66	4791200056	0.0
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other bacterial diseases"	"A30-A49"	"Pharyngeal diphtheria"	"A36.0"	0	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other bacterial diseases"	"A30-A49"	"Nasopharyngeal diphtheria"	"A36.1"	0	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other bacterial diseases"	"A30-A49"	"Laryngeal diphtheria"	"A36.2"	0	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other bacterial diseases"	"A30-A49"	"Cutaneous diphtheria"	"A36.3"	0	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other bacterial diseases"	"A30-A49"	"Other diphtheria"	"A36.8"	0	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other bacterial diseases"	"A30-A49"	"Diphtheria, unspecified"	"A36.9"	3	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other bacterial diseases"	"A30-A49"	"Whooping cough due to Bordetella pertussis"	"A37.0"	44	4791200056	0.0
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other bacterial diseases"	"A30-A49"	"Whooping cough due to Bordetella parapertussis"	"A37.1"	1	4791200056	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Other bacterial diseases"	"A30-A49"	"Whooping cough due to other Bordetella species"	"A37.8"	0	4791200056	Unreliable
