,ID,Naames,Links,Parent
105,H10-H11,Disorders of conjunctiva,http://www.icd10data.com/ICD10CM/Codes/H00-H59/H10-H11,H00-H59
106,H15-H22,"Disorders of sclera, cornea, iris and ciliary body",http://www.icd10data.com/ICD10CM/Codes/H00-H59/H15-H22,H00-H59
107,H25-H28,Disorders of lens,http://www.icd10data.com/ICD10CM/Codes/H00-H59/H25-H28,H00-H59
108,H30-H36,Disorders of choroid and retina,http://www.icd10data.com/ICD10CM/Codes/H00-H59/H30-H36,H00-H59
109,H40-H42,Glaucoma,http://www.icd10data.com/ICD10CM/Codes/H00-H59/H40-H42,H00-H59
110,H43-H44,Disorders of vitreous body and globe,http://www.icd10data.com/ICD10CM/Codes/H00-H59/H43-H44,H00-H59
111,H46-H47,Disorders of optic nerve and visual pathways,http://www.icd10data.com/ICD10CM/Codes/H00-H59/H46-H47,H00-H59
112,H49-H52,"Disorders of ocular muscles, binocular movement, accommodation and refraction",http://www.icd10data.com/ICD10CM/Codes/H00-H59/H49-H52,H00-H59
113,H53-H54,Visual disturbances and blindness,http://www.icd10data.com/ICD10CM/Codes/H00-H59/H53-H54,H00-H59
114,H55-H57,Other disorders of eye and adnexa,http://www.icd10data.com/ICD10CM/Codes/H00-H59/H55-H57,H00-H59
115,H59-H59,"Intraoperative and postprocedural complications and disorders of eye and adnexa, not elsewhere classified",http://www.icd10data.com/ICD10CM/Codes/H00-H59/H59-H59,H00-H59
116,H60-H62,Diseases of external ear,http://www.icd10data.com/ICD10CM/Codes/H60-H95/H60-H62,H60-H95
117,H65-H75,Diseases of middle ear and mastoid,http://www.icd10data.com/ICD10CM/Codes/H60-H95/H65-H75,H60-H95
118,H80-H83,Diseases of inner ear,http://www.icd10data.com/ICD10CM/Codes/H60-H95/H80-H83,H60-H95
119,H90-H94,Other disorders of ear,http://www.icd10data.com/ICD10CM/Codes/H60-H95/H90-H94,H60-H95
120,H95-H95,"Intraoperative and postprocedural complications and disorders of ear and mastoid process, not elsewhere classified",http://www.icd10data.com/ICD10CM/Codes/H60-H95/H95-H95,H60-H95
121,I00-I02,Acute rheumatic fever,http://www.icd10data.com/ICD10CM/Codes/I00-I99/I00-I02,I00-I99
122,I05-I09,Chronic rheumatic heart diseases,http://www.icd10data.com/ICD10CM/Codes/I00-I99/I05-I09,I00-I99
123,I10-I15,Hypertensive diseases,http://www.icd10data.com/ICD10CM/Codes/I00-I99/I10-I15,I00-I99
124,I20-I25,Ischemic heart diseases,http://www.icd10data.com/ICD10CM/Codes/I00-I99/I20-I25,I00-I99
125,I26-I28,Pulmonary heart disease and diseases of pulmonary circulation,http://www.icd10data.com/ICD10CM/Codes/I00-I99/I26-I28,I00-I99
126,I30-I52,Other forms of heart disease,http://www.icd10data.com/ICD10CM/Codes/I00-I99/I30-I52,I00-I99
127,I60-I69,Cerebrovascular diseases,http://www.icd10data.com/ICD10CM/Codes/I00-I99/I60-I69,I00-I99
128,I70-I79,"Diseases of arteries, arterioles and capillaries",http://www.icd10data.com/ICD10CM/Codes/I00-I99/I70-I79,I00-I99
129,I80-I89,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified",http://www.icd10data.com/ICD10CM/Codes/I00-I99/I80-I89,I00-I99
130,I95-I99,Other and unspecified disorders of the circulatory system,http://www.icd10data.com/ICD10CM/Codes/I00-I99/I95-I99,I00-I99
131,J00-J06,Acute upper respiratory infections,http://www.icd10data.com/ICD10CM/Codes/J00-J99/J00-J06,J00-J99
132,J09-J18,Influenza and pneumonia,http://www.icd10data.com/ICD10CM/Codes/J00-J99/J09-J18,J00-J99
133,J20-J22,Other acute lower respiratory infections,http://www.icd10data.com/ICD10CM/Codes/J00-J99/J20-J22,J00-J99
134,J30-J39,Other diseases of upper respiratory tract,http://www.icd10data.com/ICD10CM/Codes/J00-J99/J30-J39,J00-J99
135,J40-J47,Chronic lower respiratory diseases,http://www.icd10data.com/ICD10CM/Codes/J00-J99/J40-J47,J00-J99
136,J60-J70,Lung diseases due to external agents,http://www.icd10data.com/ICD10CM/Codes/J00-J99/J60-J70,J00-J99
137,J80-J84,Other respiratory diseases principally affecting the interstitium,http://www.icd10data.com/ICD10CM/Codes/J00-J99/J80-J84,J00-J99
138,J85-J86,Suppurative and necrotic conditions of the lower respiratory tract,http://www.icd10data.com/ICD10CM/Codes/J00-J99/J85-J86,J00-J99
139,J90-J94,Other diseases of the pleura,http://www.icd10data.com/ICD10CM/Codes/J00-J99/J90-J94,J00-J99
140,J95-J95,"Intraoperative and postprocedural complications and disorders of respiratory system, not elsewhere classified",http://www.icd10data.com/ICD10CM/Codes/J00-J99/J95-J95,J00-J99
141,J96-J99,Other diseases of the respiratory system,http://www.icd10data.com/ICD10CM/Codes/J00-J99/J96-J99,J00-J99
142,K00-K14,Diseases of oral cavity and salivary glands,http://www.icd10data.com/ICD10CM/Codes/K00-K95/K00-K14,K00-K95
143,K20-K31,"Diseases of esophagus, stomach and duodenum",http://www.icd10data.com/ICD10CM/Codes/K00-K95/K20-K31,K00-K95
144,K35-K38,Diseases of appendix,http://www.icd10data.com/ICD10CM/Codes/K00-K95/K35-K38,K00-K95
145,K40-K46,Hernia,http://www.icd10data.com/ICD10CM/Codes/K00-K95/K40-K46,K00-K95
146,K50-K52,Noninfective enteritis and colitis,http://www.icd10data.com/ICD10CM/Codes/K00-K95/K50-K52,K00-K95
147,K55-K64,Other diseases of intestines,http://www.icd10data.com/ICD10CM/Codes/K00-K95/K55-K64,K00-K95
148,K65-K68,Diseases of peritoneum and retroperitoneum,http://www.icd10data.com/ICD10CM/Codes/K00-K95/K65-K68,K00-K95
149,K70-K77,Diseases of liver,http://www.icd10data.com/ICD10CM/Codes/K00-K95/K70-K77,K00-K95
150,K80-K87,"Disorders of gallbladder, biliary tract and pancreas",http://www.icd10data.com/ICD10CM/Codes/K00-K95/K80-K87,K00-K95
151,K90-K95,Other diseases of the digestive system,http://www.icd10data.com/ICD10CM/Codes/K00-K95/K90-K95,K00-K95
152,L00-L08,Infections of the skin and subcutaneous tissue,http://www.icd10data.com/ICD10CM/Codes/L00-L99/L00-L08,L00-L99
153,L10-L14,Bullous disorders,http://www.icd10data.com/ICD10CM/Codes/L00-L99/L10-L14,L00-L99
154,L20-L30,Dermatitis and eczema,http://www.icd10data.com/ICD10CM/Codes/L00-L99/L20-L30,L00-L99
155,L40-L45,Papulosquamous disorders,http://www.icd10data.com/ICD10CM/Codes/L00-L99/L40-L45,L00-L99
156,L49-L54,Urticaria and erythema,http://www.icd10data.com/ICD10CM/Codes/L00-L99/L49-L54,L00-L99
157,L55-L59,Radiation-related disorders of the skin and subcutaneous tissue,http://www.icd10data.com/ICD10CM/Codes/L00-L99/L55-L59,L00-L99
158,L60-L75,Disorders of skin appendages,http://www.icd10data.com/ICD10CM/Codes/L00-L99/L60-L75,L00-L99
159,L76-L76,Intraoperative and postprocedural complications of skin and subcutaneous tissue,http://www.icd10data.com/ICD10CM/Codes/L00-L99/L76-L76,L00-L99
160,L80-L99,Other disorders of the skin and subcutaneous tissue,http://www.icd10data.com/ICD10CM/Codes/L00-L99/L80-L99,L00-L99
161,M00-M02,Infectious arthropathies,http://www.icd10data.com/ICD10CM/Codes/M00-M99/M00-M02,M00-M99
162,M05-M14,Inflammatory polyarthropathies,http://www.icd10data.com/ICD10CM/Codes/M00-M99/M05-M14,M00-M99
163,M15-M19,Osteoarthritis,http://www.icd10data.com/ICD10CM/Codes/M00-M99/M15-M19,M00-M99
164,M20-M25,Other joint disorders,http://www.icd10data.com/ICD10CM/Codes/M00-M99/M20-M25,M00-M99
165,M26-M27,Dentofacial anomalies [including malocclusion] and other disorders of jaw,http://www.icd10data.com/ICD10CM/Codes/M00-M99/M26-M27,M00-M99
166,M30-M36,Systemic connective tissue disorders,http://www.icd10data.com/ICD10CM/Codes/M00-M99/M30-M36,M00-M99
167,M40-M43,Deforming dorsopathies,http://www.icd10data.com/ICD10CM/Codes/M00-M99/M40-M43,M00-M99
168,M45-M49,Spondylopathies,http://www.icd10data.com/ICD10CM/Codes/M00-M99/M45-M49,M00-M99
169,M50-M54,Other dorsopathies,http://www.icd10data.com/ICD10CM/Codes/M00-M99/M50-M54,M00-M99
170,M60-M63,Disorders of muscles,http://www.icd10data.com/ICD10CM/Codes/M00-M99/M60-M63,M00-M99
171,M65-M67,Disorders of synovium and tendon,http://www.icd10data.com/ICD10CM/Codes/M00-M99/M65-M67,M00-M99
172,M70-M79,Other soft tissue disorders,http://www.icd10data.com/ICD10CM/Codes/M00-M99/M70-M79,M00-M99
173,M80-M85,Disorders of bone density and structure,http://www.icd10data.com/ICD10CM/Codes/M00-M99/M80-M85,M00-M99
174,M86-M90,Other osteopathies,http://www.icd10data.com/ICD10CM/Codes/M00-M99/M86-M90,M00-M99
175,M91-M94,Chondropathies,http://www.icd10data.com/ICD10CM/Codes/M00-M99/M91-M94,M00-M99
176,M95-M95,Other disorders of the musculoskeletal system and connective tissue,http://www.icd10data.com/ICD10CM/Codes/M00-M99/M95-M95,M00-M99
177,M96-M96,"Intraoperative and postprocedural complications and disorders of musculoskeletal system, not elsewhere classified",http://www.icd10data.com/ICD10CM/Codes/M00-M99/M96-M96,M00-M99
178,M99-M99,"Biomechanical lesions, not elsewhere classified",http://www.icd10data.com/ICD10CM/Codes/M00-M99/M99-M99,M00-M99
179,N00-N08,Glomerular diseases,http://www.icd10data.com/ICD10CM/Codes/N00-N99/N00-N08,N00-N99
180,N10-N16,Renal tubulo-interstitial diseases,http://www.icd10data.com/ICD10CM/Codes/N00-N99/N10-N16,N00-N99
181,N17-N19,Acute kidney failure and chronic kidney disease,http://www.icd10data.com/ICD10CM/Codes/N00-N99/N17-N19,N00-N99
182,N20-N23,Urolithiasis,http://www.icd10data.com/ICD10CM/Codes/N00-N99/N20-N23,N00-N99
183,N25-N29,Other disorders of kidney and ureter,http://www.icd10data.com/ICD10CM/Codes/N00-N99/N25-N29,N00-N99
184,N30-N39,Other diseases of the urinary system,http://www.icd10data.com/ICD10CM/Codes/N00-N99/N30-N39,N00-N99
185,N40-N53,Diseases of male genital organs,http://www.icd10data.com/ICD10CM/Codes/N00-N99/N40-N53,N00-N99
186,N60-N65,Disorders of breast,http://www.icd10data.com/ICD10CM/Codes/N00-N99/N60-N65,N00-N99
187,N70-N77,Inflammatory diseases of female pelvic organs,http://www.icd10data.com/ICD10CM/Codes/N00-N99/N70-N77,N00-N99
188,N80-N98,Noninflammatory disorders of female genital tract,http://www.icd10data.com/ICD10CM/Codes/N00-N99/N80-N98,N00-N99
189,N99-N99,"Intraoperative and postprocedural complications and disorders of genitourinary system, not elsewhere classified",http://www.icd10data.com/ICD10CM/Codes/N00-N99/N99-N99,N00-N99
190,O00-O08,Pregnancy with abortive outcome,http://www.icd10data.com/ICD10CM/Codes/O00-O9A/O00-O08,O00-O9A
191,O09-O09,Supervision of high risk pregnancy,http://www.icd10data.com/ICD10CM/Codes/O00-O9A/O09-O09,O00-O9A
192,O10-O16,"Edema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium",http://www.icd10data.com/ICD10CM/Codes/O00-O9A/O10-O16,O00-O9A
193,O20-O29,Other maternal disorders predominantly related to pregnancy,http://www.icd10data.com/ICD10CM/Codes/O00-O9A/O20-O29,O00-O9A
194,O30-O48,Maternal care related to the fetus and amniotic cavity and possible delivery problems,http://www.icd10data.com/ICD10CM/Codes/O00-O9A/O30-O48,O00-O9A
195,O60-O77,Complications of labor and delivery,http://www.icd10data.com/ICD10CM/Codes/O00-O9A/O60-O77,O00-O9A
196,O80-O82,Encounter for delivery,http://www.icd10data.com/ICD10CM/Codes/O00-O9A/O80-O82,O00-O9A
197,O85-O92,Complications predominantly related to the puerperium,http://www.icd10data.com/ICD10CM/Codes/O00-O9A/O85-O92,O00-O9A
198,O94-O9A,"Other obstetric conditions, not elsewhere classified",http://www.icd10data.com/ICD10CM/Codes/O00-O9A/O94-O9A,O00-O9A
199,P00-P04,"Newborn affected by maternal factors and by complications of pregnancy, labor, and delivery",http://www.icd10data.com/ICD10CM/Codes/P00-P96/P00-P04,P00-P96
200,P05-P08,Disorders of newborn related to length of gestation and fetal growth,http://www.icd10data.com/ICD10CM/Codes/P00-P96/P05-P08,P00-P96
201,P09-P09,Abnormal findings on neonatal screening,http://www.icd10data.com/ICD10CM/Codes/P00-P96/P09-P09,P00-P96
202,P10-P15,Birth trauma,http://www.icd10data.com/ICD10CM/Codes/P00-P96/P10-P15,P00-P96
203,P19-P29,Respiratory and cardiovascular disorders specific to the perinatal period,http://www.icd10data.com/ICD10CM/Codes/P00-P96/P19-P29,P00-P96
204,P35-P39,Infections specific to the perinatal period,http://www.icd10data.com/ICD10CM/Codes/P00-P96/P35-P39,P00-P96
205,P50-P61,Hemorrhagic and hematological disorders of newborn,http://www.icd10data.com/ICD10CM/Codes/P00-P96/P50-P61,P00-P96
206,P70-P74,Transitory endocrine and metabolic disorders specific to newborn,http://www.icd10data.com/ICD10CM/Codes/P00-P96/P70-P74,P00-P96
207,P76-P78,Digestive system disorders of newborn,http://www.icd10data.com/ICD10CM/Codes/P00-P96/P76-P78,P00-P96
208,P80-P83,Conditions involving the integument and temperature regulation of newborn,http://www.icd10data.com/ICD10CM/Codes/P00-P96/P80-P83,P00-P96
209,P84-P84,Other problems with newborn,http://www.icd10data.com/ICD10CM/Codes/P00-P96/P84-P84,P00-P96
210,P90-P96,Other disorders originating in the perinatal period,http://www.icd10data.com/ICD10CM/Codes/P00-P96/P90-P96,P00-P96
211,Q00-Q07,Congenital malformations of the nervous system,http://www.icd10data.com/ICD10CM/Codes/Q00-Q99/Q00-Q07,Q00-Q99
212,Q10-Q18,"Congenital malformations of eye, ear, face and neck",http://www.icd10data.com/ICD10CM/Codes/Q00-Q99/Q10-Q18,Q00-Q99
213,Q20-Q28,Congenital malformations of the circulatory system,http://www.icd10data.com/ICD10CM/Codes/Q00-Q99/Q20-Q28,Q00-Q99
214,Q30-Q34,Congenital malformations of the respiratory system,http://www.icd10data.com/ICD10CM/Codes/Q00-Q99/Q30-Q34,Q00-Q99
215,Q35-Q37,Cleft lip and cleft palate,http://www.icd10data.com/ICD10CM/Codes/Q00-Q99/Q35-Q37,Q00-Q99
216,Q38-Q45,Other congenital malformations of the digestive system,http://www.icd10data.com/ICD10CM/Codes/Q00-Q99/Q38-Q45,Q00-Q99
217,Q50-Q56,Congenital malformations of genital organs,http://www.icd10data.com/ICD10CM/Codes/Q00-Q99/Q50-Q56,Q00-Q99
218,Q60-Q64,Congenital malformations of the urinary system,http://www.icd10data.com/ICD10CM/Codes/Q00-Q99/Q60-Q64,Q00-Q99
