,name,id,label,title,value
93,G00-G09,93,G00-G09,Inflammatory diseases of the central nervous system,1660
94,G10-G14,94,G10-G14,Systemic atrophies primarily affecting the central nervous system,11.9
95,G20-G26,95,G20-G26,Extrapyramidal and movement disorders,129
96,G30-G32,96,G30-G32,Other degenerative diseases of the nervous system,1360
97,G35-G37,97,G35-G37,Demyelinating diseases of the central nervous system,266
98,G40-G47,98,G40-G47,Episodic and paroxysmal disorders,50.8
99,G50-G59,99,G50-G59,"Nerve, nerve root and plexus disorders",484
100,G60-G65,100,G60-G65,Polyneuropathies and other disorders of the peripheral nervous system,17
101,G70-G73,101,G70-G73,Diseases of myoneural junction and muscle,11.6
102,G80-G83,102,G80-G83,Cerebral palsy and other paralytic syndromes,13
103,G89-G99,103,G89-G99,Other disorders of the nervous system,6530
104,H00-H05,104,H00-H05,"Disorders of eyelid, lacrimal system and orbit",17.8
105,H10-H11,105,H10-H11,Disorders of conjunctiva,403
106,H15-H22,106,H15-H22,"Disorders of sclera, cornea, iris and ciliary body",46.6
107,H25-H28,107,H25-H28,Disorders of lens,2670
108,H30-H36,108,H30-H36,Disorders of choroid and retina,152
109,H40-H42,109,H40-H42,Glaucoma,7130
110,H43-H44,110,H43-H44,Disorders of vitreous body and globe,20.6
111,H46-H47,111,H46-H47,Disorders of optic nerve and visual pathways,56.7
112,H49-H52,112,H49-H52,"Disorders of ocular muscles, binocular movement, accommodation and refraction",9.36
113,H53-H54,113,H53-H54,Visual disturbances and blindness,256
114,H55-H57,114,H55-H57,Other disorders of eye and adnexa,105
115,H59-H59,115,H59-H59,"Intraoperative and postprocedural complications and disorders of eye and adnexa, not elsewhere classified",5.32
116,H60-H62,116,H60-H62,Diseases of external ear,3480
117,H65-H75,117,H65-H75,Diseases of middle ear and mastoid,84.9
118,H80-H83,118,H80-H83,Diseases of inner ear,3460
119,H90-H94,119,H90-H94,Other disorders of ear,13100
120,H95-H95,120,H95-H95,"Intraoperative and postprocedural complications and disorders of ear and mastoid process, not elsewhere classified",3.4
121,I00-I02,121,I00-I02,Acute rheumatic fever,1270
122,I05-I09,122,I05-I09,Chronic rheumatic heart diseases,1610
123,I10-I15,123,I10-I15,Hypertensive diseases,2190
124,I20-I25,124,I20-I25,Ischemic heart diseases,2610
125,I26-I28,125,I26-I28,Pulmonary heart disease and diseases of pulmonary circulation,1980
126,I30-I52,126,I30-I52,Other forms of heart disease,20700
127,I60-I69,127,I60-I69,Cerebrovascular diseases,1990
128,I70-I79,128,I70-I79,"Diseases of arteries, arterioles and capillaries",59
129,I80-I89,129,I80-I89,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified",12
130,I95-I99,130,I95-I99,Other and unspecified disorders of the circulatory system,71.1
131,J00-J06,131,J00-J06,Acute upper respiratory infections,2590
132,J09-J18,132,J09-J18,Influenza and pneumonia,3390
133,J20-J22,133,J20-J22,Other acute lower respiratory infections,2600
134,J30-J39,134,J30-J39,Other diseases of upper respiratory tract,2510
135,J40-J47,135,J40-J47,Chronic lower respiratory diseases,3800
136,J60-J70,136,J60-J70,Lung diseases due to external agents,461
137,J80-J84,137,J80-J84,Other respiratory diseases principally affecting the interstitium,7.06
138,J85-J86,138,J85-J86,Suppurative and necrotic conditions of the lower respiratory tract,12
139,J90-J94,139,J90-J94,Other diseases of the pleura,339
140,J95-J95,140,J95-J95,"Intraoperative and postprocedural complications and disorders of respiratory system, not elsewhere classified",3.09
141,J96-J99,141,J96-J99,Other diseases of the respiratory system,8700
142,K00-K14,142,K00-K14,Diseases of oral cavity and salivary glands,155
143,K20-K31,143,K20-K31,"Diseases of esophagus, stomach and duodenum",377
144,K35-K38,144,K35-K38,Diseases of appendix,3580
145,K40-K46,145,K40-K46,Hernia,10100
146,K50-K52,146,K50-K52,Noninfective enteritis and colitis,6.15
147,K55-K64,147,K55-K64,Other diseases of intestines,3610
148,K65-K68,148,K65-K68,Diseases of peritoneum and retroperitoneum,14.4
149,K70-K77,149,K70-K77,Diseases of liver,20000
150,K80-K87,150,K80-K87,"Disorders of gallbladder, biliary tract and pancreas",146
151,K90-K95,151,K90-K95,Other diseases of the digestive system,6700
152,L00-L08,152,L00-L08,Infections of the skin and subcutaneous tissue,1070
153,L10-L14,153,L10-L14,Bullous disorders,817
154,L20-L30,154,L20-L30,Dermatitis and eczema,3650
155,L40-L45,155,L40-L45,Papulosquamous disorders,25
156,L49-L54,156,L49-L54,Urticaria and erythema,570
157,L55-L59,157,L55-L59,Radiation-related disorders of the skin and subcutaneous tissue,6.36
158,L60-L75,158,L60-L75,Disorders of skin appendages,92.6
159,L76-L76,159,L76-L76,Intraoperative and postprocedural complications of skin and subcutaneous tissue,4.45
160,L80-L99,160,L80-L99,Other disorders of the skin and subcutaneous tissue,1130
161,M00-M02,161,M00-M02,Infectious arthropathies,20.7
162,M05-M14,162,M05-M14,Inflammatory polyarthropathies,17.2
163,M15-M19,163,M15-M19,Osteoarthritis,6490
164,M20-M25,164,M20-M25,Other joint disorders,13100
165,M26-M27,165,M26-M27,Dentofacial anomalies [including malocclusion] and other disorders of jaw,4.63
166,M30-M36,166,M30-M36,Systemic connective tissue disorders,1040
167,M40-M43,167,M40-M43,Deforming dorsopathies,4.53
168,M45-M49,168,M45-M49,Spondylopathies,11.3
169,M50-M54,169,M50-M54,Other dorsopathies,12.2
170,M60-M63,170,M60-M63,Disorders of muscles,9300
171,M65-M67,171,M65-M67,Disorders of synovium and tendon,39.3
172,M70-M79,172,M70-M79,Other soft tissue disorders,3680
173,M80-M85,173,M80-M85,Disorders of bone density and structure,778
174,M86-M90,174,M86-M90,Other osteopathies,18.4
175,M91-M94,175,M91-M94,Chondropathies,16.9
176,M95-M95,176,M95-M95,Other disorders of the musculoskeletal system and connective tissue,627
177,M96-M96,177,M96-M96,"Intraoperative and postprocedural complications and disorders of musculoskeletal system, not elsewhere classified",2.6
178,M99-M99,178,M99-M99,"Biomechanical lesions, not elsewhere classified",12.1
179,N00-N08,179,N00-N08,Glomerular diseases,955
180,N10-N16,180,N10-N16,Renal tubulo-interstitial diseases,14.3
181,N17-N19,181,N17-N19,Acute kidney failure and chronic kidney disease,4180
182,N20-N23,182,N20-N23,Urolithiasis,579
183,N25-N29,183,N25-N29,Other disorders of kidney and ureter,383
184,N30-N39,184,N30-N39,Other diseases of the urinary system,5310
185,N40-N53,185,N40-N53,Diseases of male genital organs,1130
186,N60-N65,186,N60-N65,Disorders of breast,20600
187,N70-N77,187,N70-N77,Inflammatory diseases of female pelvic organs,418
188,N80-N98,188,N80-N98,Noninflammatory disorders of female genital tract,12.2
189,N99-N99,189,N99-N99,"Intraoperative and postprocedural complications and disorders of genitourinary system, not elsewhere classified",2.56
190,O00-O08,190,O00-O08,Pregnancy with abortive outcome,15.5
191,O09-O09,191,O09-O09,Supervision of high risk pregnancy,1660
192,O10-O16,192,O10-O16,"Edema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium",4.59
193,O20-O29,193,O20-O29,Other maternal disorders predominantly related to pregnancy,68.4
194,O30-O48,194,O30-O48,Maternal care related to the fetus and amniotic cavity and possible delivery problems,12.7
195,O60-O77,195,O60-O77,Complications of labor and delivery,2860
196,O80-O82,196,O80-O82,Encounter for delivery,4590
197,O85-O92,197,O85-O92,Complications predominantly related to the puerperium,12.1
198,O94-O9A,198,O94-O9A,"Other obstetric conditions, not elsewhere classified",13.3
199,P00-P04,199,P00-P04,"Newborn affected by maternal factors and by complications of pregnancy, labor, and delivery",79
200,P05-P08,200,P05-P08,Disorders of newborn related to length of gestation and fetal growth,23.7
201,P09-P09,201,P09-P09,Abnormal findings on neonatal screening,385
202,P10-P15,202,P10-P15,Birth trauma,11200
203,P19-P29,203,P19-P29,Respiratory and cardiovascular disorders specific to the perinatal period,21.2
204,P35-P39,204,P35-P39,Infections specific to the perinatal period,163
205,P50-P61,205,P50-P61,Hemorrhagic and hematological disorders of newborn,12.1
206,P70-P74,206,P70-P74,Transitory endocrine and metabolic disorders specific to newborn,10.3
207,P76-P78,207,P76-P78,Digestive system disorders of newborn,2400
208,P80-P83,208,P80-P83,Conditions involving the integument and temperature regulation of newborn,5.78
209,P84-P84,209,P84-P84,Other problems with newborn,20400
210,P90-P96,210,P90-P96,Other disorders originating in the perinatal period,33.3
211,Q00-Q07,211,Q00-Q07,Congenital malformations of the nervous system,329
212,Q10-Q18,212,Q10-Q18,"Congenital malformations of eye, ear, face and neck",64.1
213,Q20-Q28,213,Q20-Q28,Congenital malformations of the circulatory system,87.7
214,Q30-Q34,214,Q30-Q34,Congenital malformations of the respiratory system,205
215,Q35-Q37,215,Q35-Q37,Cleft lip and cleft palate,1700
216,Q38-Q45,216,Q38-Q45,Other congenital malformations of the digestive system,84.8
217,Q50-Q56,217,Q50-Q56,Congenital malformations of genital organs,17.9
218,Q60-Q64,218,Q60-Q64,Congenital malformations of the urinary system,140
219,Q65-Q79,219,Q65-Q79,Congenital malformations and deformations of the musculoskeletal system,18.9
220,Q80-Q89,220,Q80-Q89,Other congenital malformations,1310
221,Q90-Q99,221,Q90-Q99,"Chromosomal abnormalities, not elsewhere classified",32.8
222,R00-R09,222,R00-R09,Symptoms and signs involving the circulatory and respiratory systems,42
223,R10-R19,223,R10-R19,Symptoms and signs involving the digestive system and abdomen,200
224,R20-R23,224,R20-R23,Symptoms and signs involving the skin and subcutaneous tissue,189
225,R25-R29,225,R25-R29,Symptoms and signs involving the nervous and musculoskeletal systems,52.3
226,R30-R39,226,R30-R39,Symptoms and signs involving the genitourinary system,44.1
227,R40-R46,227,R40-R46,"Symptoms and signs involving cognition, perception, emotional state and behavior",18.2
228,R47-R49,228,R47-R49,Symptoms and signs involving speech and voice,259
229,R50-R69,229,R50-R69,General symptoms and signs,21400
230,R70-R79,230,R70-R79,"Abnormal findings on examination of blood, without diagnosis",1580
231,R80-R82,231,R80-R82,"Abnormal findings on examination of urine, without diagnosis",661
232,R83-R89,232,R83-R89,"Abnormal findings on examination of other body fluids, substances and tissues, without diagnosis",12.2
233,R90-R94,233,R90-R94,"Abnormal findings on diagnostic imaging and in function studies, without diagnosis",470
234,R97-R97,234,R97-R97,Abnormal tumor markers,967
235,R99-R99,235,R99-R99,Ill-defined and unknown cause of mortality,15.3
236,S00-S09,236,S00-S09,Injuries to the head,22400
237,S10-S19,237,S10-S19,Injuries to the neck,12100
238,S20-S29,238,S20-S29,Injuries to the thorax,576
239,S30-S39,239,S30-S39,"Injuries to the abdomen, lower back, lumbar spine, pelvis and external genitals",20.7
240,S40-S49,240,S40-S49,Injuries to the shoulder and upper arm,3560
241,S50-S59,241,S50-S59,Injuries to the elbow and forearm,2030
242,S60-S69,242,S60-S69,"Injuries to the wrist, hand and fingers",2210
243,S70-S79,243,S70-S79,Injuries to the hip and thigh,3280
244,S80-S89,244,S80-S89,Injuries to the knee and lower leg,4380
245,S90-S99,245,S90-S99,Injuries to the ankle and foot,4880
246,T07-T07,246,T07-T07,Injuries involving multiple body regions,154
247,T14-T14,247,T14-T14,Injury of unspecified body region,693
248,T15-T19,248,T15-T19,Effects of foreign body entering through natural orifice,12.1
249,T20-T25,249,T20-T25,"Burns and corrosions of external body surface, specified by site",11.3
250,T26-T28,250,T26-T28,Burns and corrosions confined to eye and internal organs,5.7
251,T30-T32,251,T30-T32,Burns and corrosions of multiple and unspecified body regions,7.22
252,T33-T34,252,T33-T34,Frostbite,4450
253,T36-T50,253,T36-T50,"Poisoning by, adverse effect of and underdosing of drugs, medicaments and biological substances",26.8
254,T51-T65,254,T51-T65,Toxic effects of substances chiefly nonmedicinal as to source,14.3
255,T66-T78,255,T66-T78,Other and unspecified effects of external causes,312
256,T79-T79,256,T79-T79,Certain early complications of trauma,1660
257,T80-T88,257,T80-T88,"Complications of surgical and medical care, not elsewhere classified",87.8
258,V00-V09,258,V00-V09,Pedestrian injured in transport accident,166
259,V10-V19,259,V10-V19,Pedal cycle rider injured in transport accident,6.24
260,V20-V29,260,V20-V29,Motorcycle rider injured in transport accident,40.5
261,V30-V39,261,V30-V39,Occupant of three-wheeled motor vehicle injured in transport accident,5.56
262,V40-V49,262,V40-V49,Car occupant injured in transport accident,27.4
263,V50-V59,263,V50-V59,Occupant of pick-up truck or van injured in transport accident,11.6
264,V60-V69,264,V60-V69,Occupant of heavy transport vehicle injured in transport accident,12.8
265,V70-V79,265,V70-V79,Bus occupant injured in transport accident,16.3
266,V80-V89,266,V80-V89,Other land transport accidents,2650
267,V90-V94,267,V90-V94,Water transport accidents,4860
268,V95-V97,268,V95-V97,Air and space transport accidents,1840
269,V98-V99,269,V98-V99,Other and unspecified transport accidents,37.1
270,W00-W19,270,W00-W19,"Slipping, tripping, stumbling and falls",17
271,W20-W49,271,W20-W49,Exposure to inanimate mechanical forces,12.4
272,W50-W64,272,W50-W64,Exposure to animate mechanical forces,17.7
273,W65-W74,273,W65-W74,Accidental non-transport drowning and submersion,1.75
274,W85-W99,274,W85-W99,"Exposure to electric current, radiation and extreme ambient air temperature and pressure",7.92
275,X00-X08,275,X00-X08,"Exposure to smoke, fire and flames",322
276,X10-X19,276,X10-X19,Contact with heat and hot substances,3000
277,X30-X39,277,X30-X39,Exposure to forces of nature,1730
278,X52-X58,278,X52-X58,Accidental exposure to other specified factors,60.1
279,X71-X83,279,X71-X83,Intentional self-harm,154
280,X92-Y09,280,X92-Y09,Assault,13900
281,Y21-Y33,281,Y21-Y33,Event of undetermined intent,19.3
282,Y35-Y38,282,Y35-Y38,"Legal intervention, operations of war, military operations, and terrorism",276
283,Y62-Y69,283,Y62-Y69,Misadventures to patients during surgical and medical care,12.3
284,Y70-Y82,284,Y70-Y82,Medical devices associated with adverse incidents in diagnostic and therapeutic use,9.71
285,Y83-Y84,285,Y83-Y84,"Surgical and other medical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure",6.68
286,Y90-Y99,286,Y90-Y99,Supplementary factors related to causes of morbidity classified elsewhere,12.3
287,Z00-Z13,287,Z00-Z13,Persons encountering health services for examinations,12.2
288,Z14-Z15,288,Z14-Z15,Genetic carrier and genetic susceptibility to disease,169
289,Z16-Z16,289,Z16-Z16,Resistance to antimicrobial drugs,1380
290,Z17-Z17,290,Z17-Z17,Estrogen receptor status,613
291,Z18-Z18,291,Z18-Z18,Retained foreign body fragments,41.7
292,Z20-Z28,292,Z20-Z28,Persons with potential health hazards related to communicable diseases,14.8
293,Z30-Z39,293,Z30-Z39,Persons encountering health services in circumstances related to reproduction,12.2
294,Z40-Z53,294,Z40-Z53,Encounters for other specific health care,1330
295,Z55-Z65,295,Z55-Z65,Persons with potential health hazards related to socioeconomic and psychosocial circumstances,12.1
296,Z66-Z66,296,Z66-Z66,Do not resuscitate status,267
297,Z67-Z67,297,Z67-Z67,Blood type,48900
298,Z68-Z68,298,Z68-Z68,Body mass index (BMI),3960
299,Z69-Z76,299,Z69-Z76,Persons encountering health services in other circumstances,39.3
300,Z77-Z99,300,Z77-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,15.1
301,A00,301,A00,Cholera ,5650
302,A01,302,A01,Typhoid and paratyphoid fevers ,16
303,A02,303,A02,Other salmonella infections ,2330
304,A03,304,A03,Shigellosis ,483
305,A04,305,A04,Other bacterial intestinal infections ,2820
306,A05,306,A05,"Other bacterial foodborne intoxications, not elsewhere classified ",2.25
307,A06,307,A06,Amebiasis ,598
308,A07,308,A07,Other protozoal intestinal diseases ,31.5
309,A08,309,A08,Viral and other specified intestinal infections ,16.7
310,A09,310,A09,"Infectious gastroenteritis and colitis, unspecified ",14.3
311,A15,311,A15,Respiratory tuberculosis ,3370
312,A17,312,A17,Tuberculosis of nervous system ,1600
313,A18,313,A18,Tuberculosis of other organs ,1690
314,A19,314,A19,Miliary tuberculosis ,144
315,A20,315,A20,Plague ,11600
316,A21,316,A21,Tularemia ,805
317,A22,317,A22,Anthrax ,6230
318,A23,318,A23,Brucellosis ,1060
319,A24,319,A24,Glanders and melioidosis ,19.9
320,A25,320,A25,Rat-bite fevers ,10
321,A26,321,A26,Erysipeloid ,49.9
322,A27,322,A27,Leptospirosis ,1660
323,A28,323,A28,"Other zoonotic bacterial diseases, not elsewhere classified ",12.1
324,A30,324,A30,Leprosy [Hansen's disease] ,102
325,A31,325,A31,Infection due to other mycobacteria ,159
326,A32,326,A32,Listeriosis ,816
327,A33,327,A33,Tetanus neonatorum ,23.8
328,A34,328,A34,Obstetrical tetanus ,23.7
329,A35,329,A35,Other tetanus ,3680
330,A36,330,A36,Diphtheria ,2320
331,A37,331,A37,Whooping cough ,3220
332,A38,332,A38,Scarlet fever ,2960
333,A39,333,A39,Meningococcal infection ,1120
334,A40,334,A40,Streptococcal sepsis ,297
335,A41,335,A41,Other sepsis ,4530
336,A42,336,A42,Actinomycosis ,444
337,A43,337,A43,Nocardiosis ,141
338,A44,338,A44,Bartonellosis ,140
339,A46,339,A46,Erysipelas ,610
340,A48,340,A48,"Other bacterial diseases, not elsewhere classified ",59.7
341,A49,341,A49,Bacterial infection of unspecified site ,252
342,A50,342,A50,Congenital syphilis ,931
343,A51,343,A51,Early syphilis ,2860
344,A52,344,A52,Late syphilis ,1510
345,A53,345,A53,Other and unspecified syphilis ,44.5
346,A54,346,A54,Gonococcal infection ,278
347,A55,347,A55,Chlamydial lymphogranuloma (venereum) ,15.2
348,A56,348,A56,Other sexually transmitted chlamydial diseases ,82.9
349,A57,349,A57,Chancroid ,517
350,A58,350,A58,Granuloma inguinale ,92.3
351,A59,351,A59,Trichomoniasis ,1680
352,A60,352,A60,Anogenital herpesviral [herpes simplex] infections ,2.66
353,A63,353,A63,"Other predominantly sexually transmitted diseases, not elsewhere classified ",12.1
354,A64,354,A64,Unspecified sexually transmitted disease ,34.2
355,A65,355,A65,Nonvenereal syphilis ,8.02
356,A66,356,A66,Yaws ,579
357,A67,357,A67,Pinta [carate] ,14.5
358,A68,358,A68,Relapsing fevers ,31.9
359,A69,359,A69,Other spirochetal infections ,16.4
360,A70,360,A70,Chlamydia psittaci infections ,34
361,A71,361,A71,Trachoma ,696
362,A74,362,A74,Other diseases caused by chlamydiae ,20.2
363,A75,363,A75,Typhus fever ,752
364,A77,364,A77,Spotted fever [tick-borne rickettsioses] ,13
365,A78,365,A78,Q fever ,21900
366,A79,366,A79,Other rickettsioses ,21.5
367,A80,367,A80,Acute poliomyelitis ,392
368,A81,368,A81,Atypical virus infections of central nervous system ,46.4
369,A82,369,A82,Rabies ,8790
370,A83,370,A83,Mosquito-borne viral encephalitis ,45.3
371,A84,371,A84,Tick-borne viral encephalitis ,82.7
372,A85,372,A85,"Other viral encephalitis, not elsewhere classified ",12.3
373,A86,373,A86,Unspecified viral encephalitis ,26.7
374,A87,374,A87,Viral meningitis ,3340
375,A88,375,A88,"Other viral infections of central nervous system, not elsewhere classified ",7.7
376,A89,376,A89,Unspecified viral infection of central nervous system ,14.7
377,A90,377,A90,Dengue fever [classical dengue] ,79.2
378,A91,378,A91,Dengue hemorrhagic fever ,331
379,A92,379,A92,Other mosquito-borne viral fevers ,13.7
380,A93,380,A93,"Other arthropod-borne viral fevers, not elsewhere classified ",3.05
381,A94,381,A94,Unspecified arthropod-borne viral fever ,7.69
382,A95,382,A95,Yellow fever ,20000
383,A96,383,A96,Arenaviral hemorrhagic fever ,5.35
384,A98,384,A98,"Other viral hemorrhagic fevers, not elsewhere classified ",9.82
385,A99,385,A99,Unspecified viral hemorrhagic fever ,15.7
386,B00,386,B00,Herpesviral [herpes simplex] infections ,31
387,B01,387,B01,Varicella [chickenpox] ,1220
388,B02,388,B02,Zoster [herpes zoster] ,2910
389,B03,389,B03,Smallpox ,4120
390,B04,390,B04,Monkeypox ,230
391,B05,391,B05,Measles ,7110
392,B06,392,B06,Rubella [German measles] ,421
393,B07,393,B07,Viral warts ,2380
394,B08,394,B08,"Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified ",11.9
395,B09,395,B09,Unspecified viral infection characterized by skin and mucous membrane lesions ,6.48
396,B10,396,B10,Other human herpesviruses ,78.4
397,B15,397,B15,Acute hepatitis A ,4670
398,B16,398,B16,Acute hepatitis B ,3790
399,B17,399,B17,Other acute viral hepatitis ,2820
400,B18,400,B18,Chronic viral hepatitis ,3510
401,B19,401,B19,Unspecified viral hepatitis ,118
402,B20,402,B20,Human immunodeficiency virus [HIV] disease ,1940
403,B25,403,B25,Cytomegaloviral disease ,17.3
404,B26,404,B26,Mumps ,4430
405,B27,405,B27,Infectious mononucleosis ,1270
406,B30,406,B30,Viral conjunctivitis ,1710
407,B33,407,B33,"Other viral diseases, not elsewhere classified ",58.1
408,B34,408,B34,Viral infection of unspecified site ,317
409,B35,409,B35,Dermatophytosis ,129
410,B36,410,B36,Other superficial mycoses ,26.2
411,B37,411,B37,Candidiasis ,4340
412,B38,412,B38,Coccidioidomycosis ,585
413,B39,413,B39,Histoplasmosis ,1070
414,B40,414,B40,Blastomycosis ,592
415,B41,415,B41,Paracoccidioidomycosis ,103
416,B42,416,B42,Sporotrichosis ,298
